UF;NACIONALIDADE;CLASSIFICACAO;QTD
RS;LÍBIA;Residente;4
RS;EL SALVADOR;Provisório;3
RS;SÉRVIA;Residente;8
RS;COSTA RICA;Provisório;2
RS;INDONÉSIA;Temporário;5
RS;ROMÊNIA;Provisório;1
RS;ARGÉLIA;Provisório;2
RS;ARGENTINA;Provisório;14
RS;ETIÓPIA;Residente;1
RS;HONG-KONG (R.A.E.);Residente;13
RS;EL SALVADOR;Temporário;4
RS;GUATEMALA;Temporário;5
RS;ANGOLA;Provisório;46
RS;DINAMARCA;Temporário;3
RS;CABO VERDE;Provisório;4
RS;QUIRGUISTÃO;Residente;1
RS;GUIANA;Temporário;4
RS;SURINAME;Temporário;1
RS;SAO TOMÉ E PRÍNCIPE;Residente;3
RS;NEPAL;Residente;5
RS;LÍBANO;Temporário;2
RS;ESTADOS UNIDOS;Provisório;1
RS;TURQUIA;Temporário;16
RS;GUATEMALA;Provisório;2
RS;COSTA DO MARFIM;Provisório;1
RS;REP. MONTENEGRO;Residente;1
RS;SURINAME;Residente;2
RS;SÉRVIA;Provisório;1
RS;CHILE;Provisório;3
RS;BURKINA FASO;Residente;3
RS;CINGAPURA;Residente;3
RS;GANA;Provisório;6
RS;GUIANA;Provisório;3
RS;RÚSSIA;Provisório;1
RS;AUSTRIA;Temporário;6
RS;CAMARÕES;Temporário;5
RS;HUNGRIA;Temporário;1
RS;SOMÁLIA;Residente;4
RS;TOGO;Provisório;1
RS;LUXEMBURGO;Residente;4
RS;GÂMBIA;Provisório;2
RS;GÂMBIA;Residente;18
RS;GRANADA;Residente;1
RS;LIBÉRIA;Residente;1
RS;ESLOVÊNIA;Residente;3
RS;ISLÂNDIA;Residente;1
RS;ESTÔNIA;Residente;3
RS;DOMINICA;Provisório;1
RS;CAMARÕES;Residente;4
RS;UNIÃO SOVIÉTICA;Residente;18
RS;JAMAICA;Temporário;4
RS;COSTA RICA;Temporário;3
RS;BÉLGICA;Temporário;3
RS;HONDURAS;Provisório;1
RS;PALESTINA;Provisório;4
RS;ESLOVÁQUIA;Residente;3
RS;TOGO;Temporário;1
RS;GUINÉ EQUATORIAL;Temporário;5
RS;NAMÍBIA;Temporário;2
RS;TUNÍSIA;Temporário;4
RS;SUAZILÂNDIA;Residente;1
RS;SUÍCA;Temporário;5
RS;PORTUGAL;Temporário;14
RS;ESTÔNIA;Temporário;1
RS;SÉRVIA;Temporário;2
RS;LÍBANO;Provisório;2
RS;AFRICA DO SUL;Temporário;3
RS;MALAVI;Temporário;1
RS;URUGUAI;Provisório;74
RS;PAQUISTÃO;Provisório;2
RS;SAO TOMÉ E PRÍNCIPE;Temporário;4
RS;CANADÁ;Temporário;2
RS;GUINÉ EQUATORIAL;Residente;1
RS;FILIPINAS;Temporário;10
RS;REPÚBLICA TCHECA;Temporário;1
RS;GABÃO;Residente;1
RS;BAHAMA,IS;Residente;1
RS;MAURÍCIO;Residente;1
RS;SERRA LEOA;Residente;3
RS;NACIONALIDADE INDEFINIDA;Residente;1
RS;MAURITÂNIA;Residente;3
RS;BÓSNIA-HERZEGOVINA;Residente;2
RS;INFNI;Residente;1
RS;SUDÃO;Residente;17
RS;JORDÂNIA;Provisório;3
RS;JORDÂNIA;Temporário;2
RS;CAMARÕES;Provisório;3
RS;ARÁBIA SAUDITA;Residente;2
RJ;HAITI;Residente;1733
RJ;PORTUGAL;Residente;68914
RJ;ARGENTINA;Residente;13409
RJ;BOLÍVIA;Residente;1476
RJ;FRANÇA;Residente;5519
RJ;ITÁLIA;Residente;8209
RJ;ESPANHA;Residente;7928
RJ;CHILE;Residente;2762
RJ;MÉXICO;Residente;759
RJ;VENEZUELA;Residente;2892
RJ;RÚSSIA;Provisório;63
RJ;HAITI;Temporário;237
RJ;ANGOLA;Residente;2445
RJ;QUIRGUISTÃO;Residente;6
RJ;ANGOLA;Provisório;176
RJ;CANADÁ;Residente;581
RJ;ESTADOS UNIDOS;Residente;5472
RJ;PERU;Temporário;781
RJ;EQUADOR;Temporário;486
RJ;CHINA;Residente;6033
RJ;CHINA;Temporário;243
RJ;BÉLGICA;Residente;571
RJ;CORÉIA DO SUL;Residente;231
RJ;ALEMANHA;Residente;3699
RJ;REINO UNIDO;Residente;2510
RJ;PERU;Residente;2699
RJ;PAÍSES BAIXOS;Residente;1098
RJ;FRANÇA;Provisório;5
RJ;CROÁCIA;Temporário;100
RJ;FRANÇA;Temporário;813
RJ;FILIPINAS;Residente;192
RJ;BOLÍVIA;Temporário;196
RJ;ITÁLIA;Temporário;201
RJ;COLÔMBIA;Residente;2802
RJ;ROMÊNIA;Temporário;148
RJ;CUBA;Residente;727
RJ;AFRICA DO SUL;Residente;151
RJ;GUINÉ BISSAU;Residente;85
RJ;SUÍCA;Residente;1187
RJ;CUBA;Provisório;158
RJ;EQUADOR;Residente;572
RJ;VENEZUELA;Provisório;352
RJ;TOGO;Residente;30
RJ;CHILE;Temporário;509
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;144
RJ;FILIPINAS;Temporário;1261
RJ;PARAGUAI;Residente;673
RJ;MÉXICO;Temporário;254
RJ;RÚSSIA;Temporário;177
RJ;GRÉCIA;Temporário;21
RJ;SÍRIA;Provisório;4
RJ;NORUEGA;Temporário;425
RJ;ANGOLA;Temporário;158
RJ;ARMÊNIA;Residente;12
RJ;SENEGAL;Residente;327
RJ;UCRÂNIA;Residente;79
RJ;NIGÉRIA;Temporário;36
RJ;GUATEMALA;Residente;58
RJ;JAPÃO;Residente;2288
RJ;QUÊNIA;Residente;11
RJ;VENEZUELA;Temporário;1696
RJ;COLÔMBIA;Temporário;1163
RJ;GABÃO;Temporário;24
RJ;POLÔNIA;Temporário;516
RJ;LIBÉRIA;Residente;21
RJ;CONGO;Residente;344
RJ;SERVIA E MONTENEGRO;Residente;95
RJ;REINO UNIDO;Temporário;893
RJ;TUNÍSIA;Residente;39
RJ;APÁTRIDA;Residente;105
RJ;BENIN;Residente;34
RJ;SUÉCIA;Residente;489
RJ;CABO VERDE;Residente;138
RJ;EGITO;Residente;95
RJ;LÍBANO;Residente;629
RJ;SAO TOMÉ E PRÍNCIPE;Residente;23
RJ;AUSTRIA;Residente;510
RJ;URUGUAI;Residente;2110
RJ;ESTADOS UNIDOS;Temporário;724
RJ;UCRÂNIA;Temporário;207
RJ;FINLÂNDIA;Residente;140
RJ;INDIA;Residente;323
RJ;RÚSSIA;Residente;704
RJ;AUSTRÁLIA;Residente;300
RJ;BAHAMA,IS;Residente;3
RJ;NORUEGA;Residente;567
RJ;GRÉCIA;Residente;270
RJ;ZÂMBIA;Temporário;3
RJ;SÍRIA;Residente;554
RJ;SUÉCIA;Temporário;37
RJ;SÉRVIA;Residente;34
RJ;COLÔMBIA;Provisório;121
RJ;REP. DOMINICANA;Temporário;72
RJ;ESPANHA;Temporário;128
RJ;DINAMARCA;Temporário;97
RJ;POLÔNIA;Residente;488
RJ;TCHECOSLOVAQUIA;Residente;47
RJ;JORDÂNIA;Residente;60
RJ;CANADÁ;Temporário;98
RJ;ISRAEL;Residente;250
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;28
RJ;CONGO;Temporário;29
RJ;MALÁSIA;Residente;57
RJ;NICARÁGUA;Residente;78
RJ;ROMÊNIA;Residente;194
RJ;FILIPINAS;Provisório;12
RJ;TRINIDAD E TOBAGO;Residente;40
RJ;MOÇAMBIQUE;Residente;59
RJ;MALÁSIA;Temporário;205
RJ;INDIA;Temporário;470
RJ;CROÁCIA;Residente;36
RJ;HUNGRIA;Residente;152
RJ;PAÍSES BAIXOS;Temporário;169
RJ;DINAMARCA;Residente;335
RJ;ARGENTINA;Temporário;289
RJ;SUÍCA;Provisório;1
RJ;EQUADOR;Provisório;7
RJ;PORTUGAL;Temporário;227
RJ;BULGÁRIA;Residente;34
RJ;IRÃ;Residente;92
RJ;ARGÉLIA;Temporário;2
RJ;CAMARÕES;Residente;44
RJ;COSTA RICA;Residente;90
RJ;SENEGAL;Temporário;32
RJ;TAILÂNDIA;Residente;34
RJ;MOÇAMBIQUE;Temporário;68
RJ;IRAQUE;Residente;57
RJ;MARROCOS;Provisório;12
RJ;AFEGANISTÃO;Temporário;142
RJ;HONDURAS;Residente;50
RJ;CORÉIA DO SUL;Temporário;33
RJ;GEÓRGIA;Temporário;4
RJ;TURQUIA;Temporário;75
RJ;EL SALVADOR;Residente;62
RJ;ALEMANHA;Temporário;269
RJ;NAMÍBIA;Residente;3
RJ;GANA;Residente;99
RJ;MARROCOS;Residente;114
RJ;PANAMÁ;Residente;103
RJ;CUBA;Temporário;52
RJ;LÍBIA;Residente;16
RJ;PAQUISTÃO;Temporário;15
RJ;CABO VERDE;Temporário;16
RJ;ARGÉLIA;Residente;41
RJ;IÊMEN;Residente;7
RJ;REP. DOMINICANA;Residente;78
RJ;AFRICA DO SUL;Temporário;84
RJ;ARÁBIA SAUDITA;Residente;8
RJ;IRLANDA;Residente;160
RJ;ANTÍGUA;Residente;1
RJ;GABÃO;Residente;6
RJ;AUSTRÁLIA;Temporário;44
RJ;GUINÉ;Residente;26
RJ;JAPÃO;Temporário;118
RJ;NOVA ZELÂNDIA;Residente;81
RJ;CAMARÕES;Temporário;12
RJ;CONGO;Provisório;3
RJ;PAQUISTÃO;Residente;78
RJ;UNIÃO SOVIÉTICA;Residente;19
RJ;LITUÂNIA;Temporário;34
RJ;MÉXICO;Provisório;6
RJ;IRLANDA;Temporário;32
RJ;PARAGUAI;Temporário;108
RJ;FINLÂNDIA;Temporário;24
RJ;ESTÔNIA;Residente;26
RJ;GUIANA FRANCESA;Residente;38
RJ;GUINÉ EQUATORIAL;Provisório;1
RJ;BULGÁRIA;Temporário;37
RJ;AUSTRIA;Temporário;29
RJ;NIGÉRIA;Residente;195
RJ;BÓSNIA-HERZEGOVINA;Residente;4
RJ;AFEGANISTÃO;Provisório;11
RJ;TURQUIA;Residente;108
RJ;PANAMÁ, ZONA DO CANAL;Residente;1
RJ;SANTA HELENA;Residente;1
RJ;INDONÉSIA;Temporário;71
RJ;LETÔNIA;Residente;17
RJ;VIETINA;Residente;20
RJ;VIETINA;Temporário;5
RJ;NOVA ZELÂNDIA;Temporário;11
RJ;LITUÂNIA;Residente;71
RJ;ESLOVÁQUIA;Residente;18
RJ;PAÍSES BAIXOS;Provisório;4
RJ;UCRÂNIA;Provisório;4
RJ;LIECHTENSTEIN;Residente;8
RJ;BENIN;Temporário;28
RJ;SUÍCA;Temporário;36
RJ;COSTA DO MARFIM;Residente;16
RJ;POLINÉSIA FRANCESA;Residente;1
RJ;CINGAPURA;Residente;50
RJ;VIETNAM DO NORTE;Residente;6
RJ;ESLOVÊNIA;Residente;19
RJ;GUIANA;Temporário;4
RJ;LUXEMBURGO;Residente;13
RJ;GUINÉ BISSAU;Temporário;19
RJ;PAQUISTÃO;Provisório;6
RJ;CHIPRE;Temporário;1
RJ;NIGÉRIA;Provisório;8
RJ;BÉLGICA;Temporário;48
RJ;MALI;Residente;8
RJ;HONDURAS;Temporário;17
RJ;LETÔNIA;Temporário;40
RJ;ISLÂNDIA;Residente;8
RJ;SENEGAL;Provisório;2
RJ;SRI LANKA;Temporário;1
RJ;ISRAEL;Temporário;11
RJ;BELARUS;Provisório;4
RJ;SERRA LEOA;Residente;13
RJ;IRAQUE;Provisório;2
RJ;PALESTINA;Residente;21
RJ;FEROES, IS;Residente;2
RJ;REPÚBLICA TCHECA;Residente;57
RJ;CAZAQUISTÃO;Temporário;4
RJ;IRÃ;Temporário;22
RJ;LÍBANO;Temporário;6
RJ;EGITO;Provisório;2
RJ;TAILÂNDIA;Temporário;97
RJ;FINLÂNDIA;Provisório;1
RJ;TOGO;Provisório;4
RJ;BARBADOS;Residente;5
RJ;ARGENTINA;Provisório;14
RJ;BOLÍVIA;Provisório;7
RJ;TUNÍSIA;Temporário;2
RJ;BURKINA FASO;Residente;8
RJ;INDONÉSIA;Residente;49
RJ;IRÃ;Provisório;8
RJ;JAMAICA;Residente;5
RJ;BANGLADESH;Residente;18
RJ;REP. MONTENEGRO;Temporário;7
RJ;PORTO RICO;Residente;6
RJ;ZIMBÁBUE;Residente;10
RJ;MOLDOVA;Residente;11
RJ;MARROCOS;Temporário;8
RJ;COSTA DO MARFIM;Temporário;12
RJ;TUNÍSIA;Provisório;2
RJ;EL SALVADOR;Temporário;5
RJ;CINGAPURA;Temporário;48
RJ;PANAMÁ;Temporário;9
RJ;ESTADOS UNIDOS;Provisório;4
RJ;RUANDA;Temporário;1
RJ;CAZAQUISTÃO;Residente;16
RJ;BELARUS;Residente;31
RJ;NEPAL;Provisório;1
RJ;SÍRIA;Temporário;6
RJ;MYANMAR;Temporário;51
RJ;BURUNDI;Residente;1
RJ;TURQUIA;Provisório;7
RJ;TURCOMENISTÃO;Residente;3
RJ;ZÂMBIA;Residente;4
RJ;ESLOVÁQUIA;Temporário;5
RJ;TREGUA, ESTADO;Residente;1
RJ;GUINÉ EQUATORIAL;Temporário;13
RJ;CORÉIA DO SUL;Provisório;2
RJ;JAMAICA;Temporário;15
RJ;AZERBAIJÃO;Temporário;8
RJ;TAILÂNDIA;Provisório;1
RJ;MASCATE;Residente;1
RJ;TRINIDAD E TOBAGO;Temporário;10
RJ;EGITO;Temporário;9
RJ;FIJI, ILHAS;Residente;1
RJ;COSTA RICA;Temporário;11
RJ;IÊMEN;Provisório;2
RJ;UGANDA;Temporário;1
RJ;ALBÂNIA;Residente;7
RJ;HONG-KONG (R.A.E.);Residente;5
RJ;Montenegro;Residente;3
RJ;SURINAME;Residente;4
RJ;NAMÍBIA;Temporário;4
RJ;REP. DOMINICANA;Provisório;5
RJ;CHINA;Provisório;7
RJ;MALTA;Residente;5
RJ;CHIPRE;Residente;1
RJ;AZERBAIJÃO;Residente;2
RJ;SAO TOMÉ E PRÍNCIPE;Temporário;5
RJ;GÂMBIA;Provisório;1
RJ;PORTUGAL;Provisório;4
RJ;GANA;Provisório;3
RJ;BANGLADESH;Temporário;11
RJ;MADAGASCAR;Temporário;1
RJ;URUGUAI;Temporário;16
RJ;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;12
RJ;SUAZILÂNDIA;Residente;1
RJ;ESLOVÊNIA;Temporário;1
RJ;MALTA;Temporário;6
RJ;SRI LANKA;Residente;9
RJ;REP. CENTRO AFRICANA;Residente;2
RJ;QUÊNIA;Temporário;7
RJ;SUDÃO;Residente;2
RJ;ZIMBÁBUE;Temporário;1
RJ;ARMÊNIA;Temporário;3
RJ;AFEGANISTÃO;Residente;13
RJ;GUADALUPE;Residente;1
RJ;TAIWAN, PROVINCIA DA CHINA;Residente;6
RJ;ZIMBÁBUE;Provisório;1
RJ;TURCAS E CAICOS;Residente;1
RJ;HAITI;Provisório;4
RJ;BARBADOS;Temporário;2
